Rank,Player ID,Player Name,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,Pts
139,15995,"Turner, DJ",LVR,@CIN,WR,0.0,0.0,4.0,0.1,3.0,30.0,0.1,0.0,7.9
140,16342,"Douglas, Demario",NEP,@TEN,WR,0.0,0.0,2.0,0.0,3.5,35.0,0.1,0.0,7.8
141,15713,"Ford, Jerome",CLE,LAC,RB,0.0,0.0,33.0,0.2,2.1,11.0,0.0,0.0,7.8
142,15301,"Atwell, Tutu",LAR,@SEA,WR,0.0,0.0,1.0,0.0,3.0,36.0,0.1,0.0,7.8
143,14122,"Slayton, Darius",NYG,WAS,WR,0.0,0.0,0.0,0.0,2.8,42.0,0.1,0.0,7.8
144,12785,"Robinson, Demarcus",LAR,@SEA,WR,0.0,0.0,0.0,0.0,2.1,32.0,0.4,0.0,7.8
145,11222,"Allen, Keenan",CHI,@ARI,WR,0.0,0.0,0.0,0.0,3.5,35.0,0.1,0.0,7.8
146,16222,"Kraft, Tucker",GBP,DET,TE,0.0,0.0,0.0,0.0,2.3,31.0,0.4,0.1,7.7
147,14861,"Johnson, Juwan",NOS,@CAR,TE,0.0,0.0,1.0,0.0,2.9,31.0,0.3,0.0,7.7
148,13348,"Moore, David",CAR,NOS,WR,0.0,0.0,0.0,0.0,2.9,31.0,0.3,0.0,7.7
149,16164,"Bigsby, Tank",JAC,@PHI,RB,0.0,0.0,50.0,0.3,0.4,3.0,0.0,0.0,7.6
150,14118,"Humphrey, Lil'Jordan",DEN,@BAL,WR,0.0,0.0,0.0,0.0,3.3,38.0,0.1,0.1,7.6
151,15798,"Likely, Isaiah",BAL,DEN,TE,0.0,0.0,0.0,0.0,2.5,29.0,0.3,0.0,7.4
152,13193,"Smith, Jonnu",MIA,@BUF,TE,0.0,0.0,-0.1,0.0,3.2,33.0,0.1,0.0,7.3
153,12625,"Elliott, Ezekiel",DAL,@ATL,RB,0.0,0.0,28.0,0.2,1.7,12.0,0.1,0.0,7.3
154,13772,"Schultz, Dalton",HOU,@NYJ,TE,0.0,0.0,0.0,0.0,3.1,32.0,0.1,0.0,7.2
155,14239,"Moreau, Foster",NOS,@CAR,TE,0.0,0.0,1.0,0.0,2.2,30.0,0.3,0.0,7.1
156,16195,"Wicks, Dontayvion",GBP,DET,WR,0.0,0.0,0.0,0.0,2.1,28.0,0.3,0.0,7.0
157,14086,"Hill, Justice",BAL,DEN,RB,0.0,0.0,17.0,0.1,2.1,19.0,0.1,0.0,7.0
158,16617,"Coleman, Keon",BUF,MIA,WR,0.0,0.0,0.1,0.0,2.3,33.0,0.2,0.0,6.9
159,14798,"Moss, Zack",CIN,LVR,RB,0.0,0.0,21.0,0.1,1.9,15.0,0.1,0.1,6.9
160,13675,"Conklin, Tyler",NYJ,HOU,TE,0.0,0.0,0.0,0.0,3.2,30.0,0.1,0.0,6.9
161,16191,"Tillman, Cedric",CLE,LAC,WR,0.0,0.0,0.1,0.0,3.1,31.0,0.1,0.0,6.8
162,15786,"Nailor, Jalen",MIN,IND,WR,0.0,0.0,0.0,0.0,2.0,31.0,0.3,0.0,6.8
163,13994,"Brown, Pharaoh",SEA,LAR,TE,0.0,0.0,0.0,0.0,2.8,33.0,0.1,0.0,6.8
164,16603,"Davis, Ray",BUF,MIA,RB,0.0,0.0,30.0,0.3,1.1,10.0,0.0,0.0,6.7
165,16390,"McLaughlin, Jaleel",DEN,@BAL,RB,0.0,0.0,24.0,0.1,1.8,8.0,0.2,0.1,6.7
166,14208,"Johnson, Diontae",BAL,DEN,WR,0.0,0.0,0.0,0.0,2.4,33.0,0.2,0.0,6.7
167,12650,"Boyd, Tyler",TEN,NEP,WR,0.0,0.0,0.0,0.0,2.8,33.0,0.1,0.0,6.7
168,15293,"Bateman, Rashod",BAL,DEN,WR,0.0,0.0,0.0,0.0,2.4,31.0,0.2,0.0,6.5
169,16858,"Tipton, Mason",NOS,@CAR,WR,0.0,0.0,0.0,0.0,2.9,29.0,0.1,0.0,6.4
170,15292,"Brown, Dyami",WAS,@NYG,WR,0.0,0.0,0.0,0.0,2.4,29.0,0.2,0.0,6.3
171,14852,"Gibson, Antonio",NEP,@TEN,RB,0.0,0.0,26.0,0.1,1.7,16.0,0.0,0.0,6.3
172,15889,"Okonkwo, Chigoziem",TEN,NEP,TE,0.0,0.0,0.0,0.0,2.9,26.0,0.1,0.1,6.2
173,14871,"Parkinson, Colby",LAR,@SEA,TE,0.0,0.0,0.0,0.0,2.9,27.0,0.1,0.0,6.0
174,13680,"Hurst, Hayden",LAC,@CLE,TE,0.0,0.0,0.0,0.0,2.8,28.0,0.1,0.0,6.0
175,13172,"Brown, Noah",WAS,@NYG,WR,0.0,0.0,0.0,0.0,2.0,31.0,0.2,0.0,6.0
176,16207,"Iosivas, Andrei",CIN,LVR,WR,0.0,0.0,0.1,0.0,1.8,23.0,0.3,0.0,5.9
177,16199,"Palmer, Trey",TBB,@KCC,WR,0.0,0.0,1.0,0.0,2.2,24.0,0.2,0.0,5.9
178,15965,"Chestnut, Julius",TEN,NEP,RB,0.0,0.0,25.0,0.1,1.8,11.0,0.0,0.0,5.9
179,15723,"Chandler, Ty",MIN,IND,RB,0.0,0.0,29.0,0.1,1.4,9.0,0.0,0.0,5.9
180,15288,"Moore, Elijah",CLE,LAC,WR,0.0,0.0,0.0,0.0,3.0,27.0,0.1,0.0,5.9
181,13672,"Gesicki, Mike",CIN,LVR,TE,0.0,0.0,0.0,0.0,2.9,27.0,0.1,0.1,5.9
182,12678,"Higbee, Tyler",LAR,@SEA,TE,0.0,0.0,0.0,0.0,2.7,26.0,0.1,0.0,5.9
183,15271,"Herbert, Khalil",CHI,@ARI,RB,0.0,0.0,30.0,0.2,1.0,5.0,0.0,0.0,5.7
184,13418,"Bourne, Kendrick",NEP,@TEN,WR,0.0,0.0,1.0,0.0,2.2,26.0,0.1,0.0,5.7
185,16649,"Johnson, Theo",NYG,WAS,TE,0.0,0.0,0.0,0.0,2.6,28.0,0.0,0.0,5.6
186,16616,"Odunze, Rome",CHI,@ARI,WR,0.0,0.0,2.0,0.0,2.2,28.0,0.1,0.0,5.6
187,16619,"Franklin, Troy",DEN,@BAL,WR,0.0,0.0,1.0,0.0,2.3,24.0,0.1,0.1,5.5
188,15337,"Gray, Noah",KCC,TBB,TE,0.0,0.0,0.1,0.0,2.4,27.0,0.1,0.0,5.5
189,15255,"Gainwell, Kenneth",PHI,JAC,RB,0.0,0.0,25.0,0.1,1.5,10.0,0.0,0.0,5.4
190,14108,"Dortch, Greg",ARI,CHI,WR,0.0,0.0,1.0,0.0,2.2,22.0,0.2,0.1,5.4
191,13776,"Watson, Justin",KCC,TBB,WR,0.0,0.0,1.0,0.0,2.0,26.0,0.1,0.0,5.4
192,16596,"Allen, Braelon",NYJ,HOU,RB,0.0,0.0,20.0,0.2,1.2,9.0,0.1,0.0,5.3
193,13763,"Dissly, Will",LAC,@CLE,TE,0.0,0.0,0.0,0.0,2.6,25.0,0.0,0.0,5.3
194,13641,"McCloud, Ray-Ray",ATL,DAL,WR,0.0,0.0,3.0,0.0,2.6,24.0,0.0,0.1,5.3
195,11938,"Thielen, Adam",CAR,NOS,WR,0.0,0.0,0.1,0.0,2.5,25.0,0.1,0.0,5.3
196,16809,"Coker, Jalen",CAR,NOS,WR,0.0,0.0,2.0,0.0,2.1,25.0,0.1,0.1,5.2
197,16393,"Bobo, Jake",SEA,LAR,WR,0.0,0.0,0.0,0.0,2.4,25.0,0.1,0.1,5.2
198,14079,"Sanders, Miles",CAR,NOS,RB,0.0,0.0,22.0,0.1,1.6,9.0,0.0,0.0,5.2
199,11228,"Woods, Robert",HOU,@NYJ,WR,0.0,0.0,2.0,0.0,2.5,22.0,0.1,0.0,5.2
200,16192,"Washington, Parker",JAC,@PHI,WR,0.0,0.0,0.0,0.0,2.3,24.0,0.1,0.1,5.1
201,15730,"Goodson, Tyler",IND,@MIN,RB,0.0,0.0,21.0,0.1,1.3,10.0,0.0,0.0,5.1
202,13133,"Perine, Samaje",KCC,TBB,RB,0.0,0.0,9.0,0.1,1.6,17.0,0.0,0.0,5.0
203,15714,"White, Zamir",LVR,@CIN,RB,0.0,0.0,30.0,0.0,1.1,8.0,0.0,0.2,4.9
204,14870,"Trautman, Adam",DEN,@BAL,TE,0.0,0.0,0.0,0.0,1.6,20.0,0.2,0.0,4.9
205,16586,"Rattler, Spencer",NOS,@CAR,QB,100.0,0.0,11.0,0.0,0.0,0.0,0.0,0.3,4.8
206,15109,"Westbrook-Ikhine, Nick",TEN,NEP,WR,0.0,0.0,1.0,0.0,1.6,18.0,0.2,0.0,4.8
207,16152,"Richardson, Anthony",IND,@MIN,QB,61.0,0.2,11.0,0.1,0.0,0.0,0.0,0.1,4.7
208,16597,"Brooks, Jonathon",CAR,NOS,RB,0.0,0.0,21.0,0.1,1.3,8.0,0.0,0.0,4.6
209,13940,"Mundt, Johnny",MIN,IND,TE,0.0,0.0,0.0,0.0,2.1,16.0,0.1,0.0,4.5
210,16432,"Wilson, Emanuel",GBP,DET,RB,0.0,0.0,22.0,0.0,1.0,7.0,0.1,0.0,4.4
211,14551,"Irwin, Trenton",CIN,LVR,WR,0.0,0.0,0.0,0.0,1.7,21.0,0.1,0.0,4.4
212,12141,"Mariota, Marcus",WAS,@NYG,QB,48.0,0.4,8.0,0.0,0.0,0.0,0.0,0.0,4.4
213,16333,"Higgins, Elijah",ARI,CHI,TE,0.0,0.0,0.0,0.0,1.5,15.0,0.2,0.0,4.3
214,16269,"Strange, Brenton",JAC,@PHI,TE,0.0,0.0,0.0,0.0,1.7,19.0,0.1,0.0,4.3
215,15419,"Granson, Kylen",IND,@MIN,TE,0.0,0.0,0.1,0.0,1.3,19.0,0.2,0.0,4.3
216,14095,"Johnson, Ty",BUF,MIA,RB,0.0,0.0,10.0,0.1,0.7,8.0,0.2,0.0,4.3
217,12616,"Brissett, Jacoby",NEP,@TEN,QB,66.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,4.3
218,12181,"Agholor, Nelson",BAL,DEN,WR,0.0,0.0,0.0,0.0,1.4,19.0,0.2,0.0,4.3
219,16364,"Brooks, Jalen",DAL,@ATL,WR,0.0,0.0,1.0,0.0,1.7,23.0,0.1,0.1,4.2
220,16166,"Tucker, Sean",TBB,@KCC,RB,0.0,0.0,16.0,0.1,0.7,9.0,0.1,0.0,4.2
221,14358,"Browning, Jake",CIN,LVR,QB,54.0,0.3,3.0,0.1,0.0,0.0,0.0,0.0,4.2
222,13963,"Hodge, KhaDarel",ATL,DAL,WR,0.0,0.0,0.0,0.0,1.2,23.0,0.1,0.0,4.2
223,16385,"Demercado, Emari",ARI,CHI,RB,0.0,0.0,18.0,0.0,1.3,8.0,0.0,0.0,4.1
224,14143,"Knox, Dawson",BUF,MIA,TE,0.0,0.0,0.0,0.0,1.4,16.0,0.2,0.0,4.1
225,13148,"Ogunbowale, Dare",HOU,@NYJ,RB,0.0,0.0,10.0,0.1,1.1,10.0,0.1,0.0,4.1
226,16197,"Mingo, Jonathan",CAR,NOS,WR,0.0,0.0,0.0,0.0,2.1,19.0,0.0,0.1,4.0
227,14209,"Oliver, Josh",MIN,IND,TE,0.0,0.0,0.0,0.0,1.8,17.0,0.1,0.0,4.0
228,13652,"Wilson, Cedrick",NOS,@CAR,WR,0.0,0.0,0.0,0.0,1.6,17.0,0.1,0.0,3.9
229,16635,"McCaffrey, Luke",WAS,@NYG,WR,0.0,0.0,0.0,0.0,1.9,18.0,0.0,0.0,3.8
230,15795,"Kolar, Charlie",BAL,DEN,TE,0.0,0.0,0.0,0.0,1.1,18.0,0.1,0.0,3.8
231,13753,"Akins, Jordan",CLE,LAC,TE,0.0,0.0,0.0,0.0,1.6,16.0,0.1,0.0,3.8
232,16788,"Vele, Devaughn",DEN,@BAL,WR,0.0,0.0,0.0,0.0,1.6,21.0,0.0,0.0,3.7
233,14370,"Hudson, Tanner",CIN,LVR,TE,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,3.7
234,13246,"Alie-Cox, Mo",IND,@MIN,TE,0.0,0.0,0.0,0.0,1.1,15.0,0.2,0.0,3.7
235,13176,"Jones, Zay",ARI,CHI,WR,0.0,0.0,0.0,0.0,1.9,15.0,0.1,0.0,3.7
236,16757,"Vidal, Kimani",LAC,@CLE,RB,0.0,0.0,16.0,0.0,0.6,7.0,0.1,0.0,3.6
237,16645,"All, Erick",CIN,LVR,TE,0.0,0.0,0.0,0.0,2.1,16.0,0.0,0.1,3.6
238,14592,"Zaccheaus, Olamide",WAS,@NYG,WR,0.0,0.0,0.0,0.0,1.8,16.0,0.0,0.0,3.6
239,16312,"Whyle, Josh",TEN,NEP,TE,0.0,0.0,0.0,0.0,1.7,17.0,0.0,0.0,3.5
240,16178,"Mitchell, Keaton",BAL,DEN,RB,0.0,0.0,17.0,0.1,0.4,6.0,0.0,0.0,3.5
241,15257,"Sermon, Trey",IND,@MIN,RB,0.0,0.0,19.0,0.1,0.6,4.0,0.0,0.0,3.5
242,12677,"Hooper, Austin",NEP,@TEN,TE,0.0,0.0,0.0,0.0,1.7,15.0,0.1,0.1,3.5
243,15626,"Wright, Brock",DET,@GBP,TE,0.0,0.0,0.0,0.0,1.5,11.0,0.1,0.0,3.4
244,14977,"Osborn, K.J.",NEP,@TEN,WR,0.0,0.0,0.0,0.0,1.3,12.0,0.1,0.0,3.4
245,14799,"Akers, Cam",MIN,IND,RB,0.0,0.0,14.0,0.1,0.7,4.0,0.1,0.1,3.3
246,13678,"Thomas, Ian",CAR,NOS,TE,0.0,0.0,0.0,0.0,1.8,13.0,0.0,0.0,3.3
247,16626,"Mitchell, Adonai",IND,@MIN,WR,0.0,0.0,1.0,0.0,1.5,16.0,0.0,0.0,3.2
248,16604,"Lloyd, MarShawn",GBP,DET,RB,0.0,0.0,20.0,0.0,0.7,3.0,0.0,0.0,3.2
249,16593,"Corum, Blake",LAR,@SEA,RB,0.0,0.0,21.0,0.1,0.4,3.0,0.0,0.0,3.2
250,13139,"Williams, Jamaal",NOS,@CAR,RB,0.0,0.0,15.0,0.1,0.8,4.0,0.0,0.0,3.2
251,16723,"Barner, AJ",SEA,LAR,TE,0.0,0.0,0.0,0.0,1.6,14.0,0.0,0.0,3.1
252,16391,"Luepke, Hunter",DAL,@ATL,RB,0.0,0.0,1.0,0.2,0.6,12.0,0.0,0.0,3.1
253,16212,"Mayer, Michael",LVR,@CIN,TE,0.0,0.0,0.0,0.0,1.5,14.0,0.0,0.0,3.1
254,15981,"Turpin, KaVontae",DAL,@ATL,WR,0.0,0.0,4.0,0.0,1.0,9.0,0.1,0.1,3.1
255,15873,"Bellinger, Daniel",NYG,WAS,TE,0.0,0.0,0.0,0.0,1.5,17.0,0.0,0.0,3.1
256,15759,"Metchie, John",HOU,@NYJ,WR,0.0,0.0,0.0,0.0,1.5,15.0,0.0,0.0,3.1
257,15755,"Dotson, Jahan",PHI,JAC,WR,0.0,0.0,1.0,0.0,1.4,12.0,0.1,0.0,3.1
258,15693,"Howell, Sam",SEA,LAR,QB,42.0,0.2,3.0,0.1,0.0,0.0,0.0,0.0,3.1
259,14864,"Johnson, Tyler",LAR,@SEA,WR,0.0,0.0,0.0,0.0,1.4,14.0,0.0,0.0,3.1
260,13377,"Patrick, Tim",DET,@GBP,WR,0.0,0.0,0.0,0.0,1.2,18.0,0.0,0.0,3.1
261,11679,"Beckham, Odell",MIA,@BUF,WR,0.0,0.0,0.0,0.0,1.1,17.0,0.1,0.0,3.1
262,15332,"Tremble, Tommy",CAR,NOS,TE,0.0,0.0,0.0,0.0,1.5,11.0,0.1,0.1,3.0
263,14803,"Edwards-Helaire, Clyde",KCC,TBB,RB,0.0,0.0,10.0,0.0,0.9,10.0,0.0,0.0,3.0
264,13289,"Hollins, Mack",BUF,MIA,WR,0.0,0.0,0.0,0.0,0.9,10.0,0.2,0.0,3.0
265,10413,"Taylor, Tyrod",NYJ,HOU,QB,31.0,0.3,7.0,0.0,0.0,0.0,0.0,0.0,3.0
266,12155,"Abdullah, Ameer",LVR,@CIN,RB,0.0,0.0,7.0,0.0,1.4,9.0,0.0,0.1,2.9
267,16193,"Boutte, Kayshon",NEP,@TEN,WR,0.0,0.0,0.0,0.0,1.1,16.0,0.0,0.0,2.8
268,12680,"Vannett, Nick",TEN,NEP,TE,0.0,0.0,0.0,0.0,1.2,7.0,0.1,0.0,2.8
269,15796,"Ruckert, Jeremy",NYJ,HOU,TE,0.0,0.0,0.0,0.0,1.6,11.0,0.0,0.0,2.7
270,14821,"Hasty, JaMycal",NEP,@TEN,RB,0.0,0.0,4.0,0.0,0.8,7.0,0.1,0.0,2.7
271,14146,"Sample, Drew",CIN,LVR,TE,0.0,0.0,0.0,0.0,1.3,11.0,0.1,0.0,2.7
272,14017,"Wilson, Jeffery",MIA,@BUF,RB,0.0,0.0,15.0,0.0,0.8,5.0,0.0,0.1,2.7
273,13668,"Chark, D.J.",LAC,@CLE,WR,0.0,0.0,1.0,0.0,1.1,15.0,0.0,0.2,2.7
274,13157,"Samuel, Curtis",BUF,MIA,WR,0.0,0.0,1.0,0.0,1.3,12.0,0.0,0.0,2.7
275,13134,"Foreman, D'Onta",CLE,LAC,RB,0.0,0.0,17.0,0.0,0.5,4.0,0.0,0.0,2.7
276,16221,"Schoonmaker, Luke",DAL,@ATL,TE,0.0,0.0,0.0,0.0,1.2,10.0,0.1,0.0,2.6
277,16189,"Mims, Marvin",DEN,@BAL,WR,0.0,0.0,3.0,0.0,1.2,11.0,0.0,0.0,2.6
278,15785,"Melton, Bo",GBP,DET,WR,0.0,0.0,3.0,0.0,1.0,12.0,0.0,0.0,2.6
