Rank,Player ID,Player Name,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,Pts
279,14113,"Hardman, Mecole",KCC,TBB,WR,0.0,0.0,0.0,0.0,1.3,12.0,0.0,0.0,2.6
280,13154,"Williams, Mike",NYJ,HOU,WR,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,2.6
281,16413,"Heath, Malik",GBP,DET,WR,0.0,0.0,0.0,0.0,1.3,9.0,0.1,0.0,2.5
282,14984,"Woerner, Charlie",ATL,DAL,TE,0.0,0.0,0.0,0.0,1.2,12.0,0.0,0.0,2.5
283,13676,"Smythe, Durham",MIA,@BUF,TE,0.0,0.0,0.0,0.0,1.3,12.0,0.0,0.0,2.5
284,13236,"Everett, Gerald",CHI,@ARI,TE,0.0,0.0,0.0,0.0,1.3,8.0,0.1,0.0,2.5
285,12476,"Heinicke, Taylor",LAC,@CLE,QB,35.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,2.5
286,16631,"Polk, Ja'Lynn",NEP,@TEN,WR,0.0,0.0,0.0,0.0,1.2,10.0,0.0,0.0,2.4
287,16610,"Wright, Jaylen",MIA,@BUF,RB,0.0,0.0,18.0,0.0,0.3,3.0,0.0,0.0,2.4
288,16416,"Gipson, Xavier",NYJ,HOU,WR,0.0,0.0,1.0,0.1,1.0,9.0,0.0,0.0,2.4
289,15699,"Thompson, Skylar",MIA,@BUF,QB,52.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,2.4
290,16642,"Stover, Cade",HOU,@NYJ,TE,0.0,0.0,0.0,0.0,1.1,12.0,0.0,0.0,2.3
291,15733,"Strong Jr., Pierre",CLE,LAC,RB,0.0,0.0,11.0,0.0,0.7,5.0,0.0,0.0,2.3
292,15694,"Willis, Malik",GBP,DET,QB,19.0,0.2,7.0,0.0,0.0,0.0,0.0,0.0,2.3
293,14331,"Johnson, D'Ernest",JAC,@PHI,RB,0.0,0.0,8.0,0.0,0.8,8.0,0.0,0.0,2.3
294,13893,"Sherfield, Trent",MIN,IND,WR,0.0,0.0,0.0,0.0,0.6,5.0,0.2,0.0,2.3
295,12923,"Ham, C.J.",MIN,IND,RB,0.0,0.0,2.0,0.2,0.8,4.0,0.0,0.0,2.3
296,16958,"Miller, Ryan",TBB,@KCC,WR,0.0,0.0,1.0,0.0,1.1,10.0,0.0,0.0,2.2
297,15335,"Farrell, Luke",JAC,@PHI,TE,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.2
298,13143,"McNichols, Jeremy",WAS,@NYG,RB,0.0,0.0,14.0,0.1,0.1,1.0,0.0,0.0,2.2
299,11678,"Robinson, Allen",DET,@GBP,WR,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,2.2
300,15787,"Thornton, Tyquan",NEP,@TEN,WR,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,2.1
301,15344,"Bates, John",WAS,@NYG,TE,0.0,0.0,0.0,0.0,0.9,8.0,0.1,0.0,2.1
302,14315,"Dulin, Ashton",IND,@MIN,WR,0.0,0.0,3.0,0.0,0.3,6.0,0.2,0.0,2.1
303,16595,"Estime, Audric",DEN,@BAL,RB,0.0,0.0,9.0,0.0,0.8,4.0,0.0,0.2,2.0
304,16220,"Mallory, Will",IND,@MIN,TE,0.0,0.0,0.0,0.0,0.9,10.0,0.0,0.0,2.0
305,16183,"Hyatt, Jalin",NYG,WAS,WR,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0
306,15916,"Ogletree, Andrew",IND,@MIN,TE,0.0,0.0,0.0,0.0,0.8,10.0,0.0,0.0,2.0
307,14420,"Ingold, Alec",MIA,@BUF,RB,0.0,0.0,2.0,0.1,0.6,6.0,0.0,0.0,2.0
308,13308,"Agnew, Jamal",JAC,@PHI,WR,0.0,0.0,0.0,0.0,0.9,11.0,0.0,0.1,2.0
309,16807,"Holker, Dallin",NOS,@CAR,TE,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,1.9
310,16632,"Burton, Jermaine",CIN,LVR,WR,0.0,0.0,0.0,0.0,0.6,12.0,0.0,0.0,1.9
311,16594,"Benson, Trey",ARI,CHI,RB,0.0,0.0,12.0,0.0,0.4,2.0,0.0,0.0,1.9
312,16474,"Adkins, Nate",DEN,@BAL,TE,0.0,0.0,0.0,0.0,0.7,5.0,0.1,0.0,1.9
313,16299,"Davis, Derius",LAC,@CLE,WR,0.0,0.0,5.0,0.0,0.9,5.0,0.0,0.0,1.9
314,16205,"Scott, Tyler",CHI,@ARI,WR,0.0,0.0,3.0,0.0,0.8,8.0,0.0,0.0,1.9
315,16176,"Vaughn, Deuce",DAL,@ATL,RB,0.0,0.0,8.0,0.0,0.7,4.0,0.0,0.0,1.9
316,15970,"Krull, Lucas",DEN,@BAL,TE,0.0,0.0,0.0,0.0,0.9,9.0,0.0,0.0,1.9
317,15941,"Young, Dareke",SEA,LAR,WR,0.0,0.0,0.1,0.0,1.1,9.0,0.0,0.0,1.9
318,15905,"Quitoriano, Teagan",HOU,@NYJ,TE,0.0,0.0,0.0,0.0,0.6,11.0,0.0,0.0,1.9
319,16778,"Flournoy, Ryan",DAL,@ATL,WR,0.0,0.0,1.0,0.0,0.9,8.0,0.0,0.0,1.8
320,16005,"Jones, Tim",JAC,@PHI,WR,0.0,0.0,0.0,0.0,0.9,9.0,0.0,0.0,1.8
321,13968,"Mullens, Nick",MIN,IND,QB,35.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.8
322,8269,"Lewis, Marcedes",CHI,@ARI,TE,0.0,0.0,0.0,0.0,0.5,2.0,0.2,0.0,1.8
323,16384,"Bagent, Tyson",CHI,@ARI,QB,22.0,0.1,1.0,0.1,0.0,0.0,0.0,0.1,1.7
324,16758,"Jackson, Jha'Quan",TEN,NEP,WR,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.6
325,16483,"Sims, Ben",GBP,DET,TE,0.0,0.0,0.0,0.0,0.8,6.0,0.1,0.0,1.6
326,16218,"Durham, Payne",TBB,@KCC,TE,0.0,0.0,0.0,0.0,0.8,8.0,0.0,0.0,1.6
327,16158,"Thompson-Robinson, Dorian",CLE,LAC,QB,25.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.6
328,14875,"Bryant, Harrison",LVR,@CIN,TE,0.0,0.0,0.0,0.0,0.6,4.0,0.1,0.0,1.5
329,13910,"Powell, Brandon",MIN,IND,WR,0.0,0.0,0.0,0.0,0.7,7.0,0.0,0.0,1.5
330,13424,"Hill, Taysom",NOS,@CAR,QB,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.5
331,12378,"Swaim, Geoff",CLE,LAC,TE,0.0,0.0,0.0,0.0,0.9,6.0,0.0,0.0,1.5
332,14727,"Reynolds, Craig",DET,@GBP,RB,0.0,0.0,6.0,0.0,0.3,3.0,0.0,0.0,1.4
333,16612,"Steele, Carson",KCC,TBB,RB,0.0,0.0,9.0,0.0,0.4,2.0,0.0,0.2,1.3
334,15797,"Dulcich, Greg",DEN,@BAL,TE,0.0,0.0,0.0,0.0,0.7,5.0,0.0,0.0,1.3
335,13128,"Cook, Dalvin",DAL,@ATL,RB,0.0,0.0,6.0,0.0,0.5,2.0,0.0,0.0,1.3
336,16624,"Thrash, Jamari",CLE,LAC,WR,0.0,0.0,0.0,0.0,0.7,5.0,0.0,0.0,1.2
337,16496,"Russell, Brady",SEA,LAR,TE,0.0,0.0,0.0,0.0,0.7,5.0,0.0,0.0,1.2
338,16173,"Gray, Eric",NYG,WAS,RB,0.0,0.0,3.0,0.0,0.6,3.0,0.0,0.0,1.2
339,15726,"Rivers, Ronnie",LAR,@SEA,RB,0.0,0.0,5.0,0.0,0.6,2.0,0.0,0.0,1.2
340,15541,"Stoll, Jack",PHI,JAC,TE,0.0,0.0,0.0,0.0,0.7,5.0,0.0,0.0,1.2
341,15252,"Mills, Davis",HOU,@NYJ,QB,22.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.2
342,14873,"Okwuegbunam, Albert",PHI,JAC,TE,0.0,0.0,0.0,0.0,0.6,7.0,0.0,0.0,1.2
343,14807,"Kelley, Joshua",TEN,NEP,RB,0.0,0.0,7.0,0.0,0.4,2.0,0.0,0.1,1.2
344,13988,"Dwelley, Ross",ATL,DAL,TE,0.0,0.0,0.0,0.0,0.6,6.0,0.0,0.0,1.2
345,16684,"Washington, Malik",MIA,@BUF,WR,0.0,0.0,0.0,0.0,0.6,5.0,0.0,0.0,1.1
346,16113,"Smartt, Stone",LAC,@CLE,TE,0.0,0.0,0.0,0.0,0.6,4.0,0.0,0.0,1.1
347,15772,"Covey, Britain",PHI,JAC,WR,0.0,0.0,0.0,0.0,0.7,4.0,0.0,0.0,1.1
348,15973,"Blackshear, Raheem",CAR,NOS,RB,0.0,0.0,3.0,0.0,0.4,2.0,0.0,0.0,1.0
349,15692,"Pickett, Kenny",PHI,JAC,QB,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
350,15650,"Prentice, Adam",NOS,@CAR,RB,0.0,0.0,5.0,0.0,0.3,2.0,0.0,0.1,1.0
351,15289,"Toney, Kadarius",CLE,LAC,WR,0.0,0.0,1.0,0.0,0.5,4.0,0.0,0.0,1.0
352,15241,"Jones, Mac",JAC,@PHI,QB,25.0,0.1,1.0,0.0,0.0,0.0,0.0,0.2,1.0
353,13862,"Cracraft, River",MIA,@BUF,WR,0.0,0.0,0.0,0.0,0.5,5.0,0.0,0.0,1.0
354,13793,"Valdes-Scantling, Marquez",NOS,@CAR,WR,0.0,0.0,0.0,0.0,0.5,6.0,0.0,0.0,1.0
355,13455,"Ricard, Patrick",BAL,DEN,RB,0.0,0.0,3.0,0.0,0.2,3.0,0.0,0.1,1.0
356,12394,"Carter, DeAndre",CHI,@ARI,WR,0.0,0.0,1.0,0.0,0.5,4.0,0.0,0.0,1.0
357,12184,"Crowder, Jamison",WAS,@NYG,WR,0.0,0.0,0.0,0.0,0.5,5.0,0.0,0.0,1.0
358,16706,"Reiman, Tip",ARI,CHI,TE,0.0,0.0,0.0,0.0,0.7,3.0,0.0,0.0,0.9
359,14076,"Williams, Trayveon",CIN,LVR,RB,0.0,0.0,4.0,0.0,0.3,1.0,0.0,0.0,0.9
360,13595,"Rudolph, Mason",TEN,NEP,QB,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9
361,13065,"Tomlinson, Eric",LAC,@CLE,TE,0.0,0.0,0.0,0.0,0.4,3.0,0.0,0.0,0.9
362,12955,"Manhertz, Chris",NYG,WAS,TE,0.0,0.0,0.0,0.0,0.4,4.0,0.0,0.0,0.9
363,16203,"Jones, Charlie",CIN,LVR,WR,0.0,0.0,0.0,0.0,0.4,4.0,0.0,0.0,0.8
364,15434,"Smith-Marsette, Ihmir",NYG,WAS,WR,0.0,0.0,2.0,0.0,0.4,2.0,0.0,0.0,0.8
365,11760,"Garoppolo, Jimmy",LAR,@SEA,QB,16.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.8
366,9207,"Johnson, Josh",BAL,DEN,QB,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8
367,16752,"Davis, Isaiah",NYJ,HOU,RB,0.0,0.0,4.0,0.0,0.2,1.0,0.0,0.0,0.7
368,16646,"Bell, Jaheim",NEP,@TEN,TE,0.0,0.0,0.0,0.0,0.4,3.0,0.0,0.0,0.7
369,16374,"Dubose, Grant",MIA,@BUF,WR,0.0,0.0,0.0,0.0,0.4,4.0,0.0,0.0,0.7
370,15454,"Williams, Avery",ATL,DAL,RB,0.0,0.0,3.0,0.0,0.3,2.0,0.0,0.0,0.7
371,14057,"Lock, Drew",NYG,WAS,QB,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7
372,16964,"Jackson, Jermaine",NOS,@CAR,WR,0.0,0.0,0.0,0.0,0.3,3.0,0.0,0.1,0.6
373,16605,"McClellan, Jase",ATL,DAL,RB,0.0,0.0,4.0,0.0,0.1,1.0,0.0,0.0,0.6
374,15341,"Morris, Quintin",BUF,MIA,TE,0.0,0.0,0.0,0.0,0.1,1.0,0.1,0.0,0.6
375,14838,"Shenault, Laviska",SEA,LAR,WR,0.0,0.0,0.0,0.0,0.3,3.0,0.0,0.0,0.6
376,16643,"Sanders, Ja'Tavion",CAR,NOS,TE,0.0,0.0,0.0,0.0,0.3,2.0,0.0,0.0,0.5
377,16601,"Shipley, Will",PHI,JAC,RB,0.0,0.0,4.0,0.0,0.1,0.0,0.0,0.0,0.5
378,16583,"Penix Jr., Michael",ATL,DAL,QB,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1,0.5
379,16170,"McIntosh, Kenny",SEA,LAR,RB,0.0,0.0,3.0,0.0,0.1,1.0,0.0,0.0,0.5
380,15696,"Zappe, Bailey",CLE,LAC,QB,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
381,15339,"Yeboah, Kenny",NYJ,HOU,TE,0.0,0.0,0.0,0.0,0.3,3.0,0.0,0.0,0.5
382,14069,"Stick, Easton",LAC,@CLE,QB,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
383,14063,"Stidham, Jarrett",DEN,@BAL,QB,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
384,13124,"Rush, Cooper",DAL,@ATL,QB,16.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.5
385,13115,"Trubisky, Mitchell",BUF,MIA,QB,10.0,0.1,-0.5,0.0,0.0,0.0,0.0,0.1,0.5
386,11239,"Goodwin, Marquise",CLE,LAC,WR,0.0,0.0,1.0,0.0,0.3,1.0,0.0,0.0,0.5
387,16630,"Williams, Isaiah",DET,@GBP,WR,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.4
388,16625,"Wilson, Johnny",PHI,JAC,WR,0.0,0.0,0.0,0.0,0.2,2.0,0.0,0.1,0.4
389,16387,"Brooks, Chris",GBP,DET,RB,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.4
390,16000,"Hendershot, Peyton",KCC,TBB,TE,0.0,0.0,0.0,0.0,0.3,2.0,0.0,0.0,0.4
391,15991,"Conner, Tanner",MIA,@BUF,TE,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.4
392,15718,"Badie, Tyler",DEN,@BAL,RB,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.3,0.4
393,15285,"Wallace, Tylan",BAL,DEN,WR,0.0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,0.4
394,14613,"Sims, Steven",HOU,@NYJ,WR,0.0,0.0,1.0,0.0,0.2,2.0,0.0,0.0,0.4
395,14083,"Homer, Travis",CHI,@ARI,RB,0.0,0.0,2.0,0.0,0.1,0.0,0.0,0.0,0.4
396,16160,"Tune, Clayton",ARI,CHI,QB,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,0.3
397,15720,"Haskins, Hassan",LAC,@CLE,RB,0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,0.3
398,15302,"Eskridge, Dee",MIA,@BUF,WR,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.3
399,13488,"Pascal, Zach",ARI,CHI,WR,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.3
400,16644,"Sinnott, Ben",WAS,@NYG,TE,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.2
401,16379,"Ford-Wheaton, Bryce",NYG,WAS,WR,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.2
402,15925,"FitzPatrick, John",GBP,DET,TE,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.2
403,15540,"Sexton, Mathew",KCC,TBB,WR,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.2
404,15250,"Ehlinger, Sam",IND,@MIN,QB,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
405,14876,"Deguara, Josiah",JAC,@PHI,TE,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.2
406,14548,"Bachman, Alex",LVR,@CIN,WR,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.2
407,16678,"Vaki, Sione",DET,@GBP,RB,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1
408,16647,"Spann-Ford, Brevyn",DAL,@ATL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
409,16151,"Hooker, Hendon",DET,@GBP,QB,5.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.1
410,15239,"Wilson, Zach",DEN,@BAL,QB,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
411,14815,"Dallas, DeeJay",ARI,CHI,RB,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
412,16633,"Whittington, Jordan",LAR,@SEA,WR,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
413,16613,"Laube, Dylan",LVR,@CIN,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,16441,"DeVito, Tommy",NYG,WAS,QB,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
415,14065,"Rypien, Brett",MIN,IND,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,13598,"White, Mike",BUF,MIA,QB,0.1,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
417,12623,"Driskel, Jeff",WAS,@NYG,QB,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
418,12610,"Wentz, Carson",KCC,TBB,QB,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
419,12381,"Siemian, Trevor",TEN,NEP,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,15242,"Trask, Kyle",TBB,@KCC,QB,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,-0.1

